id,label,topic,text,length_chars,length_words,quality_score,sentiment,source_detail,timestamp,plagiarism_score,notes,clean_text,prediction,prediction_label
190,human,education,"In my experience, education often leads to there are trade-offs to consider.",76,12,3.96,-0.01,author_37,9/3/2023 20:06,0.113,,"In my experience, education often leads to there are trade-offs to consider.",human,
435,human,sports,I recently experienced sports in my day-to-day life and found that privacy concerns remain a top challenge.,107,17,3.59,-0.47,author_72,7/23/2023 18:13,0.338,personal_tone,I recently experienced sports in my day-to-day life and found that privacy concerns remain a top challenge.,human,
290,ai,technology,The following summary on technology shows privacy concerns remain a top challenge. Community feedback will shape future developments.,133,18,4.45,0.19,gpt-5-base,8/5/2024 1:03,0.026,,The following summary on technology shows privacy concerns remain a top challenge. Community feedback will shape future developments.,ai,
143,ai,travel,The following summary on travel shows users report a mixed set of outcomes.,75,13,2.8,-0.3,gpt-4o-mini,5/23/2023 8:37,0.119,,The following summary on travel shows users report a mixed set of outcomes.,ai,
147,ai,health,The following summary on health shows it requires more data for conclusive evidence.,84,13,2.81,-0.15,gpt-5-base,6/30/2024 3:24,0.075,,The following summary on health shows it requires more data for conclusive evidence.,ai,
294,human,technology,"As someone who follows technology, I believe the community response has been overwhelmingly positive.",101,14,1.53,-0.22,author_91,4/4/2025 11:07,0.249,personal_tone,"As someone who follows technology, I believe the community response has been overwhelmingly positive.",human,
313,ai,travel,This article discusses travel and highlights that the community response has been overwhelmingly positive. Further investigation is warranted.,142,18,4.63,-0.06,gpt-4o-mini,11/24/2024 11:23,0.064,,This article discusses travel and highlights that the community response has been overwhelmingly positive. Further investigation is warranted.,ai,
312,human,lifestyle,"As someone who follows lifestyle, I believe the community response has been overwhelmingly positive.",100,14,1.76,0.49,author_59,7/15/2025 9:19,0.226,personal_tone,"As someone who follows lifestyle, I believe the community response has been overwhelmingly positive.",human,
493,human,lifestyle,"In my experience, lifestyle often leads to users report a mixed set of outcomes.",80,14,2.84,0.39,author_74,1/13/2025 23:12,0.059,,"In my experience, lifestyle often leads to users report a mixed set of outcomes.",human,
66,ai,food,Analysis indicates that food is associated with adoption increases with better education. Further investigation is warranted.,125,16,4.59,0.26,llama-3-small,8/31/2025 0:45,0.15,,Analysis indicates that food is associated with adoption increases with better education. Further investigation is warranted.,ai,
375,human,food,I recently experienced food in my day-to-day life and found that the results are promising but preliminary. it can be optimized with simple heuristics costs can vary greatly depending on implementation,201,31,3.84,0.01,author_91,7/25/2023 18:51,0.005,personal_tone,I recently experienced food in my day-to-day life and found that the results are promising but preliminary. it can be optimized with simple heuristics costs can vary greatly depending on implementation,human,
35,ai,food,Analysis indicates that food is associated with it can be optimized with simple heuristics.,91,14,4.16,-0.03,llama-3-small,2/5/2025 6:20,0.092,,Analysis indicates that food is associated with it can be optimized with simple heuristics.,ai,
343,human,education,"In my experience, education often leads to privacy concerns remain a top challenge.",83,13,4.11,-0.37,author_10,4/15/2024 12:04,0.013,,"In my experience, education often leads to privacy concerns remain a top challenge.",human,
174,ai,food,The following summary on food shows adoption increases with better education. Further investigation is warranted.,113,15,3.64,0.88,bloomz-7b,1/18/2024 15:08,0.105,,The following summary on food shows adoption increases with better education. Further investigation is warranted.,ai,
202,ai,sports,This article discusses sports and highlights that users report a mixed set of outcomes.,87,14,2.63,0.06,claude-2,5/8/2025 2:46,0.051,,This article discusses sports and highlights that users report a mixed set of outcomes.,ai,
180,ai,sports,This article discusses sports and highlights that it can be optimized with simple heuristics.,93,14,3.85,0.38,claude-2,12/23/2023 4:19,0.027,,This article discusses sports and highlights that it can be optimized with simple heuristics.,ai,
307,ai,entertainment,The following summary on entertainment shows costs can vary greatly depending on implementation. Implementation details matter a lot here. users report a mixed set of outcomes,175,26,3.03,-0.57,gpt-4o-mini,5/31/2024 6:09,0.018,,The following summary on entertainment shows costs can vary greatly depending on implementation. Implementation details matter a lot here. users report a mixed set of outcomes,ai,
234,human,travel,My personal opinion on travel is that there are trade-offs to consider.,71,12,4.66,-0.35,author_90,2/10/2024 22:46,0.107,,My personal opinion on travel is that there are trade-offs to consider.,human,
443,human,food,"In my experience, food often leads to there are trade-offs to consider. Community feedback will shape future developments.",122,18,3.77,-0.32,author_21,2/1/2024 17:53,0.166,,"In my experience, food often leads to there are trade-offs to consider. Community feedback will shape future developments.",human,
346,ai,sports,This article discusses sports and highlights that it can be optimized with simple heuristics.,93,14,2.84,-0.01,gpt-5-base,3/27/2025 19:52,0.044,,This article discusses sports and highlights that it can be optimized with simple heuristics.,ai,
129,ai,lifestyle,This article discusses lifestyle and highlights that it improves efficiency significantly. Further investigation is warranted.,126,15,3.87,0.49,llama-3-small,6/24/2024 15:24,0.017,,This article discusses lifestyle and highlights that it improves efficiency significantly. Further investigation is warranted.,ai,
278,ai,lifestyle,A concise overview of lifestyle: privacy concerns remain a top challenge. This could change as new data becomes available. it requires more data for conclusive evidence,168,26,4.56,0.34,gpt-5-base,5/6/2024 7:16,0.015,,A concise overview of lifestyle: privacy concerns remain a top challenge. This could change as new data becomes available. it requires more data for conclusive evidence,ai,
5,ai,health,This article discusses health and highlights that the results are promising but preliminary.,92,13,4.59,-0.36,gpt-4o-mini,12/30/2023 7:37,0.101,,This article discusses health and highlights that the results are promising but preliminary.,ai,
402,human,finance,I recently experienced finance in my day-to-day life and found that it requires more data for conclusive evidence.,114,18,2.45,0.33,author_7,7/12/2023 11:40,0.007,personal_tone,I recently experienced finance in my day-to-day life and found that it requires more data for conclusive evidence.,human,
362,human,education,"As someone who follows education, I believe it improves efficiency significantly.",81,11,3.7,-0.54,author_34,8/9/2024 5:20,0.02,personal_tone,"As someone who follows education, I believe it improves efficiency significantly.",human,
327,human,entertainment,"After trying several approaches related to entertainment, I noticed it improves efficiency significantly.",105,13,3.01,0.28,author_23,8/4/2025 18:30,0.273,personal_tone,"After trying several approaches related to entertainment, I noticed it improves efficiency significantly.",human,
431,human,entertainment,"As someone who follows entertainment, I believe it improves efficiency significantly. This could change as new data becomes available.",134,19,4.05,-0.47,author_80,1/27/2025 1:59,0.085,personal_tone,"As someone who follows entertainment, I believe it improves efficiency significantly. This could change as new data becomes available.",human,
468,human,health,"As someone who follows health, I believe privacy concerns remain a top challenge. I would love to hear others' thoughts on this.",128,22,4.0,0.18,author_88,1/5/2023 11:19,0.326,personal_tone,"As someone who follows health, I believe privacy concerns remain a top challenge. I would love to hear others' thoughts on this.",human,
214,human,health,My personal opinion on health is that the results are promising but preliminary. Community feedback will shape future developments. it can be optimized with simple heuristics costs can vary greatly depending on implementation it can be optimized with simple heuristics,268,40,1.87,-0.45,author_72,8/16/2023 18:35,0.261,,My personal opinion on health is that the results are promising but preliminary. Community feedback will shape future developments. it can be optimized with simple heuristics costs can vary greatly depending on implementation it can be optimized with simple heuristics,human,
331,ai,health,Research-style summary on health suggests costs can vary greatly depending on implementation.,93,12,4.17,0.03,bloomz-7b,2/4/2025 19:26,0.043,,Research-style summary on health suggests costs can vary greatly depending on implementation.,ai,
330,ai,science,The following summary on science shows the results are promising but preliminary. This could change as new data becomes available.,130,20,4.8,-0.4,gpt-5-base,12/28/2024 23:40,0.146,,The following summary on science shows the results are promising but preliminary. This could change as new data becomes available.,ai,
296,ai,science,Research-style summary on science suggests adoption increases with better education.,84,10,3.7,-0.1,llama-3-small,10/11/2023 23:19,0.049,,Research-style summary on science suggests adoption increases with better education.,ai,
417,ai,food,Research-style summary on food suggests it improves efficiency significantly. it requires more data for conclusive evidence,123,16,2.69,-0.28,gpt-5-base,6/15/2024 3:32,0.015,,Research-style summary on food suggests it improves efficiency significantly. it requires more data for conclusive evidence,ai,
407,human,travel,My personal opinion on travel is that the community response has been overwhelmingly positive. I would love to hear others' thoughts on this.,141,23,2.26,-0.43,author_22,10/10/2024 15:48,0.114,personal_tone,My personal opinion on travel is that the community response has been overwhelmingly positive. I would love to hear others' thoughts on this.,human,
103,human,food,My personal opinion on food is that privacy concerns remain a top challenge. This could change as new data becomes available.,125,21,4.33,0.67,author_83,9/24/2025 22:38,0.215,,My personal opinion on food is that privacy concerns remain a top challenge. This could change as new data becomes available.,human,
165,ai,finance,This article discusses finance and highlights that it requires more data for conclusive evidence.,97,14,3.37,0.06,claude-2,9/20/2023 17:26,0.032,,This article discusses finance and highlights that it requires more data for conclusive evidence.,ai,
215,human,entertainment,"In my experience, entertainment often leads to costs can vary greatly depending on implementation.",98,14,3.92,-0.37,author_54,1/26/2023 17:34,0.037,,"In my experience, entertainment often leads to costs can vary greatly depending on implementation.",human,
6,human,science,"As someone who follows science, I believe the results are promising but preliminary.",84,13,4.74,0.43,author_100,8/13/2023 11:48,0.295,personal_tone,"As someone who follows science, I believe the results are promising but preliminary.",human,
420,ai,science,Analysis indicates that science is associated with costs can vary greatly depending on implementation.,102,14,4.57,-0.11,bloomz-7b,9/4/2023 20:30,0.082,,Analysis indicates that science is associated with costs can vary greatly depending on implementation.,ai,
450,human,health,I recently experienced health in my day-to-day life and found that there are trade-offs to consider.,100,16,1.8,0.46,author_21,1/14/2025 18:37,0.214,personal_tone,I recently experienced health in my day-to-day life and found that there are trade-offs to consider.,human,
63,human,sports,"After trying several approaches related to sports, I noticed the community response has been overwhelmingly positive. it requires more data for conclusive evidence the community response has been overwhelmingly positive",219,30,1.75,-0.25,author_26,9/28/2023 22:45,0.206,personal_tone,"After trying several approaches related to sports, I noticed the community response has been overwhelmingly positive. it requires more data for conclusive evidence the community response has been overwhelmingly positive",human,
335,human,lifestyle,"As someone who follows lifestyle, I believe the community response has been overwhelmingly positive.",100,14,3.77,0.53,author_93,7/13/2024 21:58,0.069,personal_tone,"As someone who follows lifestyle, I believe the community response has been overwhelmingly positive.",human,
301,ai,entertainment,A concise overview of entertainment: there are trade-offs to consider. Community feedback will shape future developments.,121,16,4.05,0.11,bloomz-7b,7/19/2023 18:13,0.018,,A concise overview of entertainment: there are trade-offs to consider. Community feedback will shape future developments.,ai,
18,ai,science,This article discusses science and highlights that there are trade-offs to consider.,84,12,2.54,-0.46,bloomz-7b,2/10/2025 8:36,0.025,,This article discusses science and highlights that there are trade-offs to consider.,ai,
351,ai,food,The following summary on food shows it can be optimized with simple heuristics. Further investigation is warranted.,115,17,4.28,0.36,llama-3-small,10/11/2023 13:05,0.02,,The following summary on food shows it can be optimized with simple heuristics. Further investigation is warranted.,ai,
348,human,sports,"As someone who follows sports, I believe privacy concerns remain a top challenge. Further investigation is warranted.",117,17,2.38,-0.43,author_97,11/18/2024 20:39,0.298,personal_tone,"As someone who follows sports, I believe privacy concerns remain a top challenge. Further investigation is warranted.",human,
86,ai,science,Analysis indicates that science is associated with privacy concerns remain a top challenge.,91,13,4.56,0.12,llama-3-small,4/5/2025 10:44,0.112,,Analysis indicates that science is associated with privacy concerns remain a top challenge.,ai,
258,ai,sports,This article discusses sports and highlights that privacy concerns remain a top challenge.,90,13,4.98,-0.55,claude-2,2/19/2024 16:27,0.083,,This article discusses sports and highlights that privacy concerns remain a top challenge.,ai,
366,ai,finance,This article discusses finance and highlights that adoption increases with better education. Community feedback will shape future developments.,143,18,4.69,0.2,gpt-5-base,2/9/2025 4:16,0.014,,This article discusses finance and highlights that adoption increases with better education. Community feedback will shape future developments.,ai,
386,human,travel,"After trying several approaches related to travel, I noticed the community response has been overwhelmingly positive.",117,16,2.98,0.03,author_52,2/9/2025 13:33,0.128,personal_tone,"After trying several approaches related to travel, I noticed the community response has been overwhelmingly positive.",human,
316,human,finance,"As someone who follows finance, I believe it improves efficiency significantly. Community feedback will shape future developments.",130,17,3.49,0.06,author_79,9/17/2024 13:49,0.273,personal_tone,"As someone who follows finance, I believe it improves efficiency significantly. Community feedback will shape future developments.",human,
390,human,entertainment,My personal opinion on entertainment is that costs can vary greatly depending on implementation.,96,14,4.76,-0.21,author_87,1/21/2023 14:59,0.042,,My personal opinion on entertainment is that costs can vary greatly depending on implementation.,human,
340,human,health,"In my experience, health often leads to costs can vary greatly depending on implementation. Community feedback will shape future developments.",142,20,2.35,-0.54,author_15,6/25/2025 11:41,0.133,,"In my experience, health often leads to costs can vary greatly depending on implementation. Community feedback will shape future developments.",human,
285,ai,science,This article discusses science and highlights that the community response has been overwhelmingly positive.,107,14,3.81,0.03,claude-2,2/29/2024 5:26,0.022,,This article discusses science and highlights that the community response has been overwhelmingly positive.,ai,
163,ai,science,Analysis indicates that science is associated with costs can vary greatly depending on implementation.,102,14,3.12,0.24,gpt-5-base,8/19/2023 10:50,0.116,,Analysis indicates that science is associated with costs can vary greatly depending on implementation.,ai,
324,human,technology,My personal opinion on technology is that costs can vary greatly depending on implementation.,93,14,2.52,0.18,author_22,12/19/2024 3:52,0.016,,My personal opinion on technology is that costs can vary greatly depending on implementation.,human,
325,ai,finance,This article discusses finance and highlights that it can be optimized with simple heuristics.,94,14,2.8,0.68,gpt-5-base,8/9/2023 16:38,0.124,,This article discusses finance and highlights that it can be optimized with simple heuristics.,ai,
148,human,finance,"After trying several approaches related to finance, I noticed adoption increases with better education.",103,14,1.64,0.7,author_99,3/25/2023 1:39,0.332,personal_tone,"After trying several approaches related to finance, I noticed adoption increases with better education.",human,
30,human,food,"As someone who follows food, I believe it can be optimized with simple heuristics.",82,14,1.88,0.71,author_59,5/29/2025 17:08,0.078,personal_tone,"As someone who follows food, I believe it can be optimized with simple heuristics.",human,
108,human,technology,My personal opinion on technology is that the results are promising but preliminary.,84,13,4.17,-0.17,author_56,5/3/2023 0:16,0.174,,My personal opinion on technology is that the results are promising but preliminary.,human,
464,human,education,My personal opinion on education is that adoption increases with better education.,82,12,2.74,0.85,author_49,10/15/2023 1:08,0.119,,My personal opinion on education is that adoption increases with better education.,human,
496,ai,lifestyle,Analysis indicates that lifestyle is associated with it requires more data for conclusive evidence.,99,14,3.14,0.28,claude-2,4/17/2024 8:48,0.11,,Analysis indicates that lifestyle is associated with it requires more data for conclusive evidence.,ai,
426,human,sports,My personal opinion on sports is that it improves efficiency significantly.,75,11,3.48,-0.11,author_87,12/15/2024 8:02,0.054,,My personal opinion on sports is that it improves efficiency significantly.,human,
251,ai,lifestyle,A concise overview of lifestyle: the results are promising but preliminary.,75,11,4.99,0.56,gpt-5-base,1/20/2025 19:53,0.114,,A concise overview of lifestyle: the results are promising but preliminary.,ai,
136,ai,finance,A concise overview of finance: the community response has been overwhelmingly positive.,87,12,3.17,-0.48,gpt-5-base,3/10/2024 2:52,0.065,,A concise overview of finance: the community response has been overwhelmingly positive.,ai,
261,human,technology,I recently experienced technology in my day-to-day life and found that the community response has been overwhelmingly positive. Community feedback will shape future developments.,178,24,4.04,0.14,author_28,1/27/2024 15:32,0.06,personal_tone,I recently experienced technology in my day-to-day life and found that the community response has been overwhelmingly positive. Community feedback will shape future developments.,human,
118,human,entertainment,"After trying several approaches related to entertainment, I noticed the community response has been overwhelmingly positive.",124,16,2.8,-0.18,author_7,2/23/2024 12:19,0.238,personal_tone,"After trying several approaches related to entertainment, I noticed the community response has been overwhelmingly positive.",human,
188,ai,education,This article discusses education and highlights that costs can vary greatly depending on implementation.,104,14,2.73,0.49,claude-2,7/15/2023 1:52,0.04,,This article discusses education and highlights that costs can vary greatly depending on implementation.,ai,
416,ai,technology,The following summary on technology shows costs can vary greatly depending on implementation. the community response has been overwhelmingly positive,149,20,4.82,0.65,claude-2,4/24/2024 23:15,0.009,,The following summary on technology shows costs can vary greatly depending on implementation. the community response has been overwhelmingly positive,ai,
166,ai,science,The following summary on science shows it requires more data for conclusive evidence. Community feedback will shape future developments.,136,19,2.63,0.76,gpt-4o-mini,8/20/2023 23:13,0.035,,The following summary on science shows it requires more data for conclusive evidence. Community feedback will shape future developments.,ai,
224,ai,sports,A concise overview of sports: the community response has been overwhelmingly positive. Community feedback will shape future developments. it requires more data for conclusive evidence,183,25,2.58,-0.26,claude-2,10/23/2023 6:07,0.117,,A concise overview of sports: the community response has been overwhelmingly positive. Community feedback will shape future developments. it requires more data for conclusive evidence,ai,
445,ai,food,The following summary on food shows the community response has been overwhelmingly positive.,92,13,4.02,0.64,claude-2,1/7/2025 11:23,0.059,,The following summary on food shows the community response has been overwhelmingly positive.,ai,
286,human,health,I recently experienced health in my day-to-day life and found that adoption increases with better education.,108,16,4.58,0.72,author_74,9/28/2023 13:56,0.229,personal_tone,I recently experienced health in my day-to-day life and found that adoption increases with better education.,human,
492,human,entertainment,"As someone who follows entertainment, I believe costs can vary greatly depending on implementation.",99,14,3.2,0.6,author_11,6/1/2025 1:12,0.12,personal_tone,"As someone who follows entertainment, I believe costs can vary greatly depending on implementation.",human,
477,ai,health,The following summary on health shows costs can vary greatly depending on implementation.,89,13,4.46,0.05,gpt-5-base,3/17/2025 12:27,0.082,,The following summary on health shows costs can vary greatly depending on implementation.,ai,
478,human,health,"In my experience, health often leads to adoption increases with better education. Community feedback will shape future developments.",132,18,3.44,0.63,author_9,6/30/2023 11:12,0.335,,"In my experience, health often leads to adoption increases with better education. Community feedback will shape future developments.",human,
481,ai,sports,This article discusses sports and highlights that costs can vary greatly depending on implementation.,101,14,3.78,0.67,claude-2,5/22/2025 10:42,0.009,,This article discusses sports and highlights that costs can vary greatly depending on implementation.,ai,
418,ai,education,Research-style summary on education suggests the results are promising but preliminary.,87,11,4.87,0.24,claude-2,7/25/2024 15:06,0.112,,Research-style summary on education suggests the results are promising but preliminary.,ai,
7,human,education,My personal opinion on education is that it improves efficiency significantly. costs can vary greatly depending on implementation the results are promising but preliminary the community response has been overwhelmingly positive,227,31,2.88,0.77,author_32,4/14/2024 5:12,0.093,,My personal opinion on education is that it improves efficiency significantly. costs can vary greatly depending on implementation the results are promising but preliminary the community response has been overwhelmingly positive,human,
423,human,travel,"After trying several approaches related to travel, I noticed costs can vary greatly depending on implementation. This could change as new data becomes available.",161,24,1.82,0.0,author_93,7/28/2025 7:54,0.257,personal_tone,"After trying several approaches related to travel, I noticed costs can vary greatly depending on implementation. This could change as new data becomes available.",human,
12,human,health,My personal opinion on health is that costs can vary greatly depending on implementation. Further investigation is warranted.,125,18,4.81,-0.47,author_69,5/12/2024 2:31,0.342,,My personal opinion on health is that costs can vary greatly depending on implementation. Further investigation is warranted.,human,
193,human,education,"As someone who follows education, I believe costs can vary greatly depending on implementation.",95,14,3.25,0.38,author_63,12/2/2024 12:17,0.09,personal_tone,"As someone who follows education, I believe costs can vary greatly depending on implementation.",human,
93,ai,technology,Analysis indicates that technology is associated with it can be optimized with simple heuristics. I would love to hear others' thoughts on this.,144,23,4.56,-0.46,gpt-4o-mini,8/6/2023 23:21,0.096,,Analysis indicates that technology is associated with it can be optimized with simple heuristics. I would love to hear others' thoughts on this.,ai,
222,ai,finance,Research-style summary on finance suggests the community response has been overwhelmingly positive.,99,12,5.0,0.23,llama-3-small,5/16/2024 10:30,0.021,,Research-style summary on finance suggests the community response has been overwhelmingly positive.,ai,
111,ai,finance,A concise overview of finance: adoption increases with better education.,72,10,2.72,0.67,claude-2,9/7/2023 15:51,0.088,,A concise overview of finance: adoption increases with better education.,ai,
239,human,science,"After trying several approaches related to science, I noticed adoption increases with better education.",103,14,4.79,-0.56,author_27,5/17/2025 23:58,0.307,personal_tone,"After trying several approaches related to science, I noticed adoption increases with better education.",human,
439,human,sports,"After trying several approaches related to sports, I noticed it requires more data for conclusive evidence.",107,16,2.22,-0.39,author_40,7/8/2024 7:21,0.302,personal_tone,"After trying several approaches related to sports, I noticed it requires more data for conclusive evidence.",human,
476,human,sports,My personal opinion on sports is that there are trade-offs to consider. privacy concerns remain a top challenge the community response has been overwhelmingly positive,167,25,2.9,0.02,author_62,9/27/2024 8:52,0.192,,My personal opinion on sports is that there are trade-offs to consider. privacy concerns remain a top challenge the community response has been overwhelmingly positive,human,
59,human,science,"As someone who follows science, I believe it requires more data for conclusive evidence.",88,14,1.86,-0.58,author_44,10/19/2023 17:05,0.168,personal_tone,"As someone who follows science, I believe it requires more data for conclusive evidence.",human,
381,ai,food,The following summary on food shows costs can vary greatly depending on implementation.,87,13,4.87,0.42,gpt-5-base,7/20/2025 6:55,0.075,,The following summary on food shows costs can vary greatly depending on implementation.,ai,
79,human,entertainment,My personal opinion on entertainment is that users report a mixed set of outcomes. it requires more data for conclusive evidence,128,21,2.75,0.05,author_88,9/8/2023 19:20,0.144,,My personal opinion on entertainment is that users report a mixed set of outcomes. it requires more data for conclusive evidence,human,
380,ai,science,This article discusses science and highlights that privacy concerns remain a top challenge.,91,13,3.22,0.0,gpt-5-base,2/5/2025 12:27,0.011,,This article discusses science and highlights that privacy concerns remain a top challenge.,ai,
248,human,technology,"As someone who follows technology, I believe it improves efficiency significantly. This could change as new data becomes available.",131,19,2.03,0.8,author_92,5/28/2025 1:17,0.194,personal_tone,"As someone who follows technology, I believe it improves efficiency significantly. This could change as new data becomes available.",human,
208,ai,travel,A concise overview of travel: the results are promising but preliminary.,72,11,2.77,-0.14,claude-2,8/29/2025 14:24,0.05,,A concise overview of travel: the results are promising but preliminary.,ai,
102,ai,food,This article discusses food and highlights that it can be optimized with simple heuristics.,91,14,3.38,0.27,gpt-5-base,8/6/2023 5:38,0.099,,This article discusses food and highlights that it can be optimized with simple heuristics.,ai,
345,human,science,"After trying several approaches related to science, I noticed it improves efficiency significantly. Community feedback will shape future developments. costs can vary greatly depending on implementation",201,26,4.75,-0.44,author_37,3/16/2025 10:58,0.212,personal_tone,"After trying several approaches related to science, I noticed it improves efficiency significantly. Community feedback will shape future developments. costs can vary greatly depending on implementation",human,
393,human,food,My personal opinion on food is that costs can vary greatly depending on implementation.,87,14,2.88,0.73,author_67,3/10/2025 13:13,0.262,,My personal opinion on food is that costs can vary greatly depending on implementation.,human,
424,ai,entertainment,A concise overview of entertainment: users report a mixed set of outcomes.,74,12,3.94,0.76,claude-2,9/1/2024 23:23,0.045,,A concise overview of entertainment: users report a mixed set of outcomes.,ai,
489,ai,lifestyle,A concise overview of lifestyle: costs can vary greatly depending on implementation.,84,12,3.24,-0.35,claude-2,12/12/2024 21:45,0.112,,A concise overview of lifestyle: costs can vary greatly depending on implementation.,ai,
257,ai,health,The following summary on health shows there are trade-offs to consider.,71,11,4.26,0.3,gpt-5-base,8/9/2023 11:56,0.022,,The following summary on health shows there are trade-offs to consider.,ai,
181,ai,science,The following summary on science shows users report a mixed set of outcomes.,76,13,4.95,0.09,bloomz-7b,1/6/2025 19:49,0.064,,The following summary on science shows users report a mixed set of outcomes.,ai,
437,human,science,I recently experienced science in my day-to-day life and found that it requires more data for conclusive evidence.,114,18,4.62,0.62,author_29,1/31/2023 20:12,0.332,personal_tone,I recently experienced science in my day-to-day life and found that it requires more data for conclusive evidence.,human,
19,ai,education,This article discusses education and highlights that it can be optimized with simple heuristics. I would love to hear others' thoughts on this.,143,23,3.16,0.58,claude-2,4/10/2024 10:23,0.063,,This article discusses education and highlights that it can be optimized with simple heuristics. I would love to hear others' thoughts on this.,ai,
41,ai,science,The following summary on science shows the community response has been overwhelmingly positive.,95,13,3.15,-0.23,claude-2,10/14/2024 10:05,0.115,,The following summary on science shows the community response has been overwhelmingly positive.,ai,
422,human,food,My personal opinion on food is that it improves efficiency significantly.,73,11,3.5,0.26,author_20,4/7/2023 1:22,0.161,,My personal opinion on food is that it improves efficiency significantly.,human,
470,human,travel,"As someone who follows travel, I believe users report a mixed set of outcomes. privacy concerns remain a top challenge privacy concerns remain a top challenge there are trade-offs to consider",191,31,2.22,-0.07,author_91,11/23/2023 9:52,0.05,personal_tone,"As someone who follows travel, I believe users report a mixed set of outcomes. privacy concerns remain a top challenge privacy concerns remain a top challenge there are trade-offs to consider",human,
42,ai,education,A concise overview of education: it requires more data for conclusive evidence. This could change as new data becomes available.,128,20,3.34,0.74,bloomz-7b,3/24/2023 5:02,0.023,,A concise overview of education: it requires more data for conclusive evidence. This could change as new data becomes available.,ai,
160,ai,lifestyle,The following summary on lifestyle shows adoption increases with better education.,82,11,2.93,0.34,gpt-5-base,9/26/2024 13:50,0.022,,The following summary on lifestyle shows adoption increases with better education.,ai,
287,ai,technology,Analysis indicates that technology is associated with users report a mixed set of outcomes.,91,14,4.2,0.0,gpt-4o-mini,2/10/2024 12:04,0.104,,Analysis indicates that technology is associated with users report a mixed set of outcomes.,ai,
